关卡id	副本类型	关卡地形	关卡类型	章节（玩法）	关卡	章节（顺序）	前置关卡	大章名	关卡名称	关卡描述	关卡图标	首次通关送魂石	首次通关奖励	小怪id	精英id	BOSS id	陷阱id	npcId	寻路建筑Id	不寻路建筑Id	推荐战力	可否重复打	是否评星	开启等级	次数	魔晶掉落	金币掉落	道具掉落1	道具掉落2	道具掉落3	道具掉落4	道具掉落5	道具掉落6	召唤师经验	英雄经验	消耗体力	任务名称1	任务名称2	任务名称3	游戏失败原因	胜利触发教程	失败触发教程	开始战斗图片	剧情数据	镜头动画数据	副本气泡
10108	1	level01_02	Level	1	8	1	10107	第1章	废城历险09	0	iconHQ_01			101061,101062,101064	101052						210	0	0	1	99	5	800	121051&100&4	110001&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101081,b&101082	0	通关战场|集齐全套装备;3&button_put_down
10109	1	level01_09	Run	1	9	1	10108	第1章	废城历险10	0	iconHQ_01			101093	101094	101091		101096	101092,101095		223	1	1	1	99	5	800		110101&50&1				121998&20&1,123001&5&1	6	24	6	逃脱黑水船长追杀	英雄生命高于20%	击杀精英怪	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;4,太慢了，BOSS把您吸成了人干！			label_mission13	a&101091	a	通关战场|集齐全套装备;3&button_put_down
10110	1	level01_02	Level	1	10	1	10109	第1章	废城历险11	0	iconHQ_01			101061,101062	101111						225	0	0	1	99	5	800	121051&100&4	110101&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101101	0	即将解锁|黎明之战;3&button_pvp
10111	1	level01_02	Level	1	11	1	10110	第1章	废城历险12	0	iconHQ_01			101061,101062	101049						230	0	0	1	99	5	800	121051&100&4	110201&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101111	0	即将解锁|黎明之战;3&button_pvp
10112	1	level01_12	Level	1	12	1	10111	第1章	废城历险13	0	iconHQ_01		122123&5	101061,101125,101062	101126,101122,101123	101121					400	1	1	1	99	5	800		110401&50&1				121998&20&1,123001&5&1	6	24	6	击杀巨魔兽	2分钟内通关	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	pvp_win		label_mission10	a&101121,b&101122	a	即将解锁|黎明之战;3&button_pvp
10200	1	level02_00	Level	2	0	2	10112	第2章	城镇冒险01	0	iconHQ_01			102001,102002	102005				102004,999003		603	1	1	6	99	6	1000		110301&50&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀大菠萝	英雄生命高于50%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	blacksmith_win		label_mission17	a&102001	a	强化装备|提升装备等级;3&button_qh
10201	1	level02_02	Level	2	1	2	10200	第2章	城镇冒险02	0	iconHQ_01			102001,102002	102003						613	0	0	6	99	6	1000	121051&100&5	110201&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&102011	0	即将解锁|荒野探索;3&button_xj
10202	1	level02_02	Level	2	2	2	10201	第2章	城镇冒险03	0	iconHQ_01			102001,102002		102022					623	0	0	6	99	6	1000	121051&100&5	110101&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&102021	0	即将解锁|荒野探索;3&button_xj
10203	1	level02_03	Level	2	3	2	10202	第2章	城镇冒险04	0	iconHQ_01			102031,102032,999101	102034			102035	102036,101095		850	1	1	6	99	6	1000		110001&50&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	护送目标离开	没有英雄死亡	NPC生命高于50%	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;4,惨烈！您的英雄全部阵亡！;5,不透露姓名的NPC遗憾告别了这个世界……	xjts_win		label_mission14	a&102031,b&102032,c&102033	0	即将解锁|荒野探索;3&button_xj
10204	1	level02_02	Level	2	4	2	10203	第2章	城镇冒险05	0	iconHQ_01			102031,102032,102002	102037						860	0	0	6	99	6	1000	121051&100&5	110001&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	收集强化石|不断强化装备;1&119997
10205	1	level02_02	Level	2	5	2	10204	第2章	城镇冒险06	0	iconHQ_01			102031,102032	102051		102039				870	0	0	6	99	6	1000	121051&100&5	110301&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	收集强化石|不断强化装备;1&119997
10206	1	level02_09	Level	2	9	2	10205	第2章	城镇冒险07	0	iconHQ_01			102031,102032	102034,102064						1322	1	1	6	99	6	1000		110201&50&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	截杀运输队长	没有英雄死亡	1分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;3,哦漏！目标已成功跳脱！			label_mission12	a&102061,b&102062	0	收集强化石|不断强化装备;1&119997
10207	1	level02_02	Level	2	7	2	10206	第2章	城镇冒险08	0	iconHQ_01			102031,102032	102034						1332	0	0	6	99	6	1000	121051&100&5	110401&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	收集强化石|不断强化装备;1&119997
10208	1	level02_02	Level	2	8	2	10207	第2章	城镇冒险09	0	iconHQ_01			102031,102032	102051		102039				1342	0	0	6	99	6	1000	121051&100&5	110001&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	收集强化石|不断强化装备;1&119997
10209	1	level02_06	Level	2	6	2	10208	第2章	城镇冒险10	0	iconHQ_01			102091,102092,999102	102094,102097			102096	102095,101095		1391	1	1	6	99	6	1000		110101&50&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	保护魔能水晶	水晶生命高于50%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,魔能水晶已被士兵摧毁！			label_mission15	a&102091,b&102092	0	收集强化石|不断强化装备;1&119997
10210	1	level02_02	Level	2	10	2	10209	第2章	城镇冒险11	0	iconHQ_01			102091,102092	102098						1401	0	0	6	99	6	1000	121051&100&5	110101&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|加入心仪战队;3&button_gh
10211	1	level02_02	Level	2	11	2	10210	第2章	城镇冒险12	0	iconHQ_01			102091,102092	102098,102097						1411	0	0	6	99	6	1000	121051&100&5	110201&100&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|加入心仪战队;3&button_gh
10212	1	level02_12	Level	2	12	2	10211	第2章	城镇冒险13	0	iconHQ_01		122123&5	102091,102092	102098,102097	102125	999101				1705	1	1	6	99	6	1000		110401&50&1	119997&50&1			121998&20&1,123001&5&1	6	26	6	击杀boss	没有英雄死亡	2分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;4,惨烈！您的英雄全部阵亡！	elite_win		label_mission10	a&102121,b&102122	a	即将解锁|加入心仪战队;3&button_gh
10300	1	level03_00	Level	3	0	3	10212	第3章	都市废墟01	0	iconHQ_01			103001,103002,999102	103009		103005,103006		999003	999002	1746	1	1	10	99	6	1200		110301&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀boss	打开2个宝箱	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&103001,b&103002	a	即将解锁|资源猎场;3&button_lx
10301	1	level03_02	Level	3	1	3	10300	第3章	都市废墟02	0	iconHQ_01			103011,103012	103019						1756	0	0	10	99	6	1200	121051&100&6	110301&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|资源猎场;3&button_lx
10302	1	level03_02	Level	3	2	3	10301	第3章	都市废墟03	0	iconHQ_01			103011,103012,999102	103020						1766	0	0	10	99	6	1200	121051&100&6	110301&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|资源猎场;3&button_lx
10303	1	level03_03	Hide	3	3	3	10302	第3章	都市废墟04	0	iconHQ_01				103039		103032				1788	1	1	10	99	6	1200		110001&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击败守护者	英雄生命高于20%	收集30个魔能碎片	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	dxlx_win		label_mission11	a&103031	a	即将解锁|资源猎场;3&button_lx
10304	1	level03_02	Level	3	4	3	10303	第3章	都市废墟05	0	iconHQ_01			103011,103012	103019						1798	0	0	10	99	6	1200	121051&100&6	110001&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	通关战场|勿忘宝箱奖励;3&chest_07
10305	1	level03_02	Level	3	5	3	10304	第3章	都市废墟06	0	iconHQ_01			103011,103012,999102	103021						1808	0	0	10	99	6	1200	121051&100&6	110001&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	通关战场|勿忘宝箱奖励;3&chest_07
10306	1	level03_06	Guard	3	6	3	10305	第3章	都市废墟07	0	iconHQ_01			103062,103061,999102	103069			103064		999002	2080	1	1	10	99	6	1200		110201&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	护送目标离开	没有英雄死亡	目标血高于50%	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,更嚣张的狂徒遗憾告别了这个世界……			label_mission14	a&103061,b&103062,c&103063	a	通关战场|勿忘宝箱奖励;3&chest_07
10307	1	level03_02	Level	3	7	3	10306	第3章	都市废墟08	0	iconHQ_01			103011,103012	103071						2090	0	0	10	99	6	1200	121051&100&6	110201&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|潜能系统;3&button_gift
10308	1	level03_02	Level	3	8	3	10307	第3章	都市废墟09	0	iconHQ_01			103011,103012,999102	103072						2100	0	0	10	99	6	1200	121051&100&6	110201&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|潜能系统;3&button_gift
10309	1	level03_09	Level	3	9	3	10308	第3章	都市废墟10	0	iconHQ_01			103092,103093	103091		103006			999002	2289	1	1	10	99	6	1200		110101&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	截杀报信者	打开3个宝箱	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;3,哦漏！目标已成功跳脱！	talent_win		label_mission12	a&103091,b&103092	0	即将解锁|潜能系统;3&button_gift
10310	1	level03_02	Level	3	10	3	10309	第3章	都市废墟11	0	iconHQ_01			103011,103012	103072						2290	0	0	10	99	6	1200	121051&100&6	110101&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|精英战场;3&button_level02_active
10311	1	level03_02	Level	3	11	3	10310	第3章	都市废墟12	0	iconHQ_01			103011,103012,999102	103073						2299	0	0	10	99	6	1200	121051&100&6	110101&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|精英战场;3&button_level02_active
10312	1	level03_12	Level	3	12	3	10311	第3章	都市废墟13	0	iconHQ_01		122123&10	103062,103061,999102		103129	103123		103122,999003		2515	1	1	10	99	6	1200		110401&75&1	119997&50&1			121998&20&1,123001&5&1	6	30	6	击杀boss	水晶不被摧毁	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	guild_win		label_mission10	a&103121,b&103122	a	即将解锁|精英战场;3&button_level02_active
10400	1	level04_00	Level	4	0	4	10312	第4章	智能军团01	0	iconHQ_01			104001,104002,999103	104005			104004			2875	1	1	13	99	7	1440		110301&50&1	110311&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	护送目标离开	NPC生命高于70%	2分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,损坏的机器人遗憾告别了这个世界……			label_mission14	a&104001,b&104002	a	绿装时代|绿装全面普及;1&110011
10401	1	level04_01	Level	4	1	4	10400	第4章	智能军团02	0	iconHQ_01			104001,104002	104011						2885	0	0	13	99	7	1440	121051&100&8	110301&50&1	110311&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	绿装时代|绿装全面普及;1&110011
10402	1	level04_01	Level	4	2	4	10401	第4章	智能军团03	0	iconHQ_01			104001,104002	104005						2895	0	0	13	99	7	1440	121051&100&8	110301&50&1	110311&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	绿装时代|绿装全面普及;1&110011
10403	1	level04_03	Level	4	3	4	10402	第4章	智能军团04	0	iconHQ_01			104031,104032,999104	104034		104035,104036		999003		3264	1	1	13	99	7	1440		110001&50&1	110011&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀重型机器人	没有英雄死亡	3分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission11	a&104031	a	绿装时代|绿装全面普及;1&110011
10404	1	level04_01	Level	4	4	4	10403	第4章	智能军团05	0	iconHQ_01			104031,104032	104034						3274	0	0	13	99	7	1440	121051&100&8	110001&50&1	110011&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|幸运游戏;3&button_chess01
10405	1	level04_01	Level	4	5	4	10404	第4章	智能军团06	0	iconHQ_01			104031,104032	104051						3284	0	0	13	99	7	1440	121051&100&8	110001&50&1	110011&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|幸运游戏;3&button_chess01
10406	1	level04_06	Level	4	6	4	10405	第4章	智能军团07	0	iconHQ_01			104061,104062,999105	104064				104065		3460	1	1	13	99	7	1440		110201&50&1	110211&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	保护魔能水晶	水晶生命高于70%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,魔能水晶已被机器人摧毁！	midas_win		label_mission15	a&104061	a	即将解锁|幸运游戏;3&button_chess01
10407	1	level04_01	Level	4	7	4	10406	第4章	智能军团08	0	iconHQ_01			104061,104062	104071						3470	0	0	13	99	7	1440	121051&100&8	110201&50&1	110211&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	绿装时代|集齐全套绿装;1&110011
10408	1	level04_01	Level	4	8	4	10407	第4章	智能军团09	0	iconHQ_01			104061,104062	104034						3480	0	0	13	99	7	1440	121051&100&8	110201&50&1	110211&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	绿装时代|集齐全套绿装;1&110011
10409	1	level04_09	Level	4	9	4	10408	第4章	智能军团10	0	iconHQ_01			104091,104092,999106	104094			104095	104096	999002	3957	1	1	13	99	7	1440		110101&50&1	110111&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	护送目标离开	NPC生命高于70%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;3,哦漏！目标已成功跳脱！;5,损坏的机器人遗憾告别了这个世界……			label_mission14	a&104091,b&104092	a	绿装时代|集齐全套绿装;1&110011
10410	1	level04_01	Level	4	10	4	10409	第4章	智能军团11	0	iconHQ_01			104061,104062	104034						3967	0	0	13	99	7	1440	121051&100&8	110101&50&1	110111&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|银河猎场;3&button_monster
10411	1	level04_01	Level	4	11	4	10410	第4章	智能军团12	0	iconHQ_01			104061,104062	104051						3977	0	0	13	99	7	1440	121051&100&8	110101&50&1	110111&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	即将解锁|银河猎场;3&button_monster
10412	1	level04_12	Level	4	12	4	10411	第4章	智能军团13	0	iconHQ_01		122123&10	104123,104124,999106	104122	104121			999003		5746	1	1	13	99	7	1440		110401&50&1	110411&5&1	119997&50&1		121998&20&1,123001&5&1	6	60	6	击杀将军	没有英雄死亡	击杀25个战斗机器人	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	hunt_win		label_mission10	a&104121,b&104122	a	即将解锁|银河猎场;3&button_monster
10800	1	level01_00	Level	1	0	5	10412	第5章	陨石之城01	0	iconHQ_01			108001	108003						5750	1	1	16	99	7	1460		110301&50&1	110311&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀天夜叉	没有英雄死亡	3分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	
10801	1	level01_02	Level	1	1	5	10800	第5章	陨石之城02	0	iconHQ_01			108001,108002	108011						5760	0	0	16	99	7	1460	121051&100&8	110301&50&1	110311&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	b&101012,c&101013	0	
10802	1	level01_02	Level	1	2	5	10801	第5章	陨石之城03	0	iconHQ_01			108001,108002	108021						5770	0	0	16	99	7	1460	121051&100&8	110301&50&1	110311&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101021,b&101022	0	
10803	1	level01_03	Level	1	3	5	10802	第5章	陨石之城04	0	iconHQ_01			108032,108031	108039						6809	1	1	16	99	7	1460		110001&50&1	110011&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀全部怪物	收集6颗龙珠	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission16	0	0	
10804	1	level01_02	Level	1	4	5	10803	第5章	陨石之城05	0	iconHQ_01			999108,108032		108041					6819	0	0	16	99	7	1460	121051&100&8	110001&50&1	110011&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101041,b&101042	0	
10805	1	level01_02	Level	1	5	5	10804	第5章	陨石之城06	0	iconHQ_01			108001,108002,108031		108051,108052					6829	0	0	16	99	7	1460	121051&100&8	110001&50&1	110011&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	
10806	1	level01_06	Guard	1	6	5	10805	第5章	陨石之城07	0	iconHQ_01			108001,108002,108001	108051				108061		7294	1	1	16	99	7	1460		110201&50&1	110211&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	保护魔能水晶	水晶生命高于20%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,魔能水晶已被敌人摧毁！			label_mission15	0	0	
10807	1	level01_02	Level	1	7	5	10806	第5章	陨石之城08	0	iconHQ_01			108001,108002	108071						7304	0	0	16	99	7	1460	121051&100&8	110201&50&1	110211&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101071	0	
10808	1	level01_02	Level	1	8	5	10807	第5章	陨石之城09	0	iconHQ_01			108001,108002,108001	108051						7314	0	0	16	99	7	1460	121051&100&8	110201&50&1	110211&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	
10809	1	level01_09	Run	1	9	5	10808	第5章	陨石之城10	0	iconHQ_01			108001	108011	108091		101096	108092,101095		7779	1	1	16	99	7	1460		110101&50&1	110111&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	逃脱BOSS追杀	英雄生命高于20%	杀死15个敌人	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;4,太慢了，BOSS把您吸成了人干！			label_mission13	a&101091	0	
10810	1	level01_02	Level	1	10	5	10809	第5章	陨石之城11	0	iconHQ_01			108001,108002	108101						7789	0	0	16	99	7	1460	121051&100&8	110101&50&1	110111&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	
10811	1	level01_02	Level	1	11	5	10810	第5章	陨石之城12	0	iconHQ_01			108001,108002	108011						7799	0	0	16	99	7	1460	121051&100&8	110101&50&1	110111&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	0	0	
10812	1	level01_12	Level	1	12	5	10811	第5章	陨石之城13	0	iconHQ_01		122123&10	108001,108002,108031	108011,108051,108011	108121					8264	1	1	16	99	7	1460		110401&50&1	110411&7&1	119997&50&1		121998&20&1,123001&5&1	6	62	6	击杀巨魔兽	2分钟内通关	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission10	b&101122	0	
10500	1	level05_00	Level	5	0	6	10812	第6章	异形巢穴01	0	iconHQ_01			105001,105002,999107	105004					999002	9544	1	1	18	99	7	1500		110311&10&1	119997&50&1	119998&5&1		121998&20&1,123001&5&1	6	65	6	击杀魔能傀儡	没有英雄死亡	找到隐藏宝箱				label_mission17	a&105001	0	
