Ó¢ÐÛid	ËùÊô½ÇÉ«	½ÇÉ«Ãû×Ö	ÐÔ±ð	Ä£ÐÍÃû³Æ	Í·ÏñÃû³Æ	Ö°Òµ	ÕóÓª	³õÊ¼ÐÇ¼¶	Æ·½×	ÏÂ½×¶Î±àºÅ	Í»ÆÆËùÐèµÈ¼¶	Í»ÆÆÐèÒªÎïÆ·	Í»ÆÆÐèÒª½ðÇ®	½Úµã1Ãû³Æ	½Úµã2Ãû³Æ	½Úµã3Ãû³Æ	½Úµã4Ãû³Æ	½Úµã5Ãû³Æ	½Úµã6Ãû³Æ	½Úµã1Í¼±ê	½Úµã2Í¼±ê	½Úµã3Í¼±ê	½Úµã4Í¼±ê	½Úµã5Í¼±ê	½Úµã6Í¼±ê	½Úµã1ÊôÐÔ	½Úµã2ÊôÐÔ	½Úµã3ÊôÐÔ	½Úµã4ÊôÐÔ	½Úµã5ÊôÐÔ	½Úµã6ÊôÐÔ	»ù´¡ÆøÑª	»ù´¡¹¥»÷	»ù´¡Îï·À	·¨ÊõÇ¿¶È	»ù´¡·¨·À	ÆÆ¼×	´©Í¸	±©»÷	¿¹±©	ÃüÖÐ	ÉÁ±Ü	¹¥»÷ËÙ¶È	ÎüÑª	ÉËº¦¼õÃâ	ÖÎÁÆ¼Ó³É	¹¥ËÙ¼Ó³É°Ù·Ö±È	ÎüÑªÂÊ	ÃâÉËÂÊ	ÖÎÁÆ¼Ó³ÉÂÊ	·¨Ç¿ÏµÊý	³ÐÊÜÉËº¦¼¼ÄÜµã	ÒÆ¶¯ËÙ¶È	¼¼ÄÜ1	¼¼ÄÜ2	¼¼ÄÜ3	¼¼ÄÜ4	¼¼ÄÜ5	¼¼ÄÜ6	¼¼ÄÜ99	ÅÅÐòÈ¨ÖØ	ÆÕÍ¨¹¥»÷																												
101025	102	µç¹âÈË	1	flashman03	101021	3	5	1	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	50;5000;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,penetrate&120	52;5200;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,evaBase&80	54;5400;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,cri&144	56;5600;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,hit&240	58;5800;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,defCri&36	60;6000;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,defCri&72	6962.7	1114	151.97	1671	252.2	0	276	256	192	300	100	0	0	0	0	0	0	0	0	0.6	20	6	10201	10202	10203	10211	10204	10212	19999	10	10200																												
101031	103	Å®Íõ	2	hancoc01	101031	4	2	1	1	101032	12	121051&30;121031&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	4;300;hpBase&178,attBase&18,defBase&4,magicStr&15,wisBase&7,penetrate&20	10;400;hpBase&178,attBase&18,defBase&4,magicStr&15,wisBase&7,evaBase&10	0	0	0	0	96	7	2	7	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	20	6	10301	10302	10304	10303	10305	10311	19999	11	10300																												
101032	103	Å®Íõ	2	hancoc01	101031	4	2	1	2	101033	20	121051&100;121032&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	14;500;hpBase&356,attBase&36,defBase&8,magicStr&30,wisBase&14,penetrate&40	15;600;hpBase&356,attBase&36,defBase&8,magicStr&30,wisBase&14,evaBase&15	17;700;hpBase&356,attBase&36,defBase&8,magicStr&30,wisBase&14,cri&30	0	0	0	452	43	10	37	16.6	0	20	0	0	0	10	0	0	0	0	0	0	0	0	0.5	20	6	10301	10302	10304	10303	10305	10311	19999	12	10300																												
101033	103	Å®Íõ	2	hancoc02	101031	4	2	1	3	101034	33	121051&300;121033&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	22;1000;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,penetrate&80	23;1200;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,evaBase&25	25;1400;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,cri&40	27;1600;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,hit&100	29;1800;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,defCri&30	31;2000;hpBase&534,attBase&54,defBase&12,magicStr&45,wisBase&21,cureAddtion&0.05	1520	151	34	127	58.6	0	60	30	0	0	25	0	0	0	0	0	0	0	0	0.5	20	6	10301	10302	10304	10303	10305	10311	19999	13	10300																												
101034	103	Å®Íõ	2	hancoc02	101031	4	2	1	4	101035	48	121051&500;121034&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	35;3000;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,penetrate&90	37;3200;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,evaBase&50	39;3400;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,cri&58	42;3600;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,hit&100	44;3800;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,defCri&34	46;4000;hpBase&712,attBase&72,defBase&16,magicStr&60,wisBase&28,cureAddtion&0.1	4724	475	106	397	184.6	0	140	70	30	100	50	0	0	0	0	0	0	0	0.05	0.5	20	6	10301	10302	10304	10303	10305	10311	19999	14	10300																												
101035	103	Å®Íõ	2	hancoc03	101031	4	2	1	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	50;5000;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,penetrate&100	52;5200;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,evaBase&80	54;5400;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,cri&72	56;5600;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,hit&160	58;5800;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,defCri&36	60;6000;hpBase&890,attBase&90,defBase&20,magicStr&75,wisBase&35,cureAddtion&0.1	8996	907	202	757	352.6	0	230	128	64	200	100	0	0	0	0	0	0	0	0.15	0.5	20	6	10301	10302	10304	10303	10305	10311	19999	15	10300																												
101041	104	Ð¡³óÅ®	2	quinn01	101041	2	5	1	1	101042	12	121051&30;121001&1	5000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	4;300;hpBase&157,attBase&23,defBase&3,wisBase&1,breakArm&24	10;400;hpBase&157,attBase&23,defBase&3,wisBase&1,evaBase&12	0	0	0	0	120.93	10.8	1.97	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10401	10402	10403	10411	10404	10412	19999	16	10400																												
101042	104	Ð¡³óÅ®	2	quinn01	101041	2	5	1	2	101043	20	121051&100;121002&3	10000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	14;500;hpBase&314,attBase&46,defBase&6,wisBase&2,breakArm&48	15;600;hpBase&314,attBase&46,defBase&6,wisBase&2,evaBase&18	17;700;hpBase&314,attBase&46,defBase&6,wisBase&2,cri&45	0	0	0	434.93	56.8	7.97	0	2.72	24	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20	6	10401	10402	10403	10411	10404	10412	19999	17	10400																												
101043	104	Ð¡³óÅ®	2	quinn02	101041	2	5	1	3	101044	33	121051&300;121003&15	20000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	22;1000;hpBase&471,attBase&69,defBase&9,wisBase&3,breakArm&96	23;1200;hpBase&471,attBase&69,defBase&9,wisBase&3,evaBase&30	25;1400;hpBase&471,attBase&69,defBase&9,wisBase&3,cri&60	27;1600;hpBase&471,attBase&69,defBase&9,wisBase&3,hit&100	29;1800;hpBase&471,attBase&69,defBase&9,wisBase&3,defCri&30	31;2000;hpBase&471,attBase&69,defBase&9,wisBase&3,attSpeProp&0.05	1376.93	194.8	25.97	0	8.72	72	0	45	0	0	30	0	0	0	0	0	0	0	0	0	20	6	10401	10402	10403	10411	10404	10412	19999	18	10400																												
101044	104	Ð¡³óÅ®	2	quinn02	101041	2	5	1	4	101045	48	121051&500;121004&20	40000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	35;3000;hpBase&628,attBase&92,defBase&12,wisBase&4,breakArm&108	37;3200;hpBase&628,attBase&92,defBase&12,wisBase&4,evaBase&60	39;3400;hpBase&628,attBase&92,defBase&12,wisBase&4,cri&87	42;3600;hpBase&628,attBase&92,defBase&12,wisBase&4,hit&100	44;3800;hpBase&628,attBase&92,defBase&12,wisBase&4,defCri&34	46;4000;hpBase&628,attBase&92,defBase&12,wisBase&4,attSpeProp&0.1	4202.93	608.8	79.97	0	26.72	168	0	105	30	100	60	0	0	0	0	0.05	0	0	0	0	20	6	10401	10402	10403	10411	10404	10412	19999	19	10400																												
101045	104	Ð¡³óÅ®	2	quinn03	101041	2	5	1	5	0	0	0	0	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	50;5000;hpBase&785,attBase&115,defBase&15,wisBase&5,breakArm&120	52;5200;hpBase&785,attBase&115,defBase&15,wisBase&5,evaBase&96	54;5400;hpBase&785,attBase&115,defBase&15,wisBase&5,cri&108	56;5600;hpBase&785,attBase&115,defBase&15,wisBase&5,hit&160	58;5800;hpBase&785,attBase&115,defBase&15,wisBase&5,defCri&36	60;6000;hpBase&785,attBase&115,defBase&15,wisBase&5,attSpeProp&0.1	7970.93	1160.8	151.97	0	50.72	276	0	192	64	200	120	0	0	0	0	0.15	0	0	0	0	20	6	10401	10402	10403	10411	10404	10412	19999	20	10400																												
101051	105	»Ê×Ó	1	vegeta01	101051	2	3	1	1	101052	12	121051&30;121001&1	5000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	4;300;hpBase&265,attBase&26,defBase&3,wisBase&1,breakArm&24	10;400;hpBase&265,attBase&26,defBase&3,wisBase&1,evaBase&12	0	0	0	0	180	15.54	1.97	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10501	10502	10503	10511	10504	10512	19999	21	10500																												
101052	105	»Ê×Ó	1	vegeta01	101051	2	3	1	2	101053	20	121051&100;121002&3	10000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	14;500;hpBase&530,attBase&52,defBase&6,wisBase&2,breakArm&48	15;600;hpBase&530,attBase&52,defBase&6,wisBase&2,evaBase&18	17;700;hpBase&530,attBase&52,defBase&6,wisBase&2,cri&45	0	0	0	710	67.54	7.97	0	3.08	24	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20	6	10501	10502	10503	10511	10504	10512	19999	22	10500																												
101053	105	»Ê×Ó	1	vegeta02	101051	2	3	1	3	101054	33	121051&300;121003&15	20000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	22;1000;hpBase&795,attBase&78,defBase&9,wisBase&3,breakArm&96	23;1200;hpBase&795,attBase&78,defBase&9,wisBase&3,evaBase&30	25;1400;hpBase&795,attBase&78,defBase&9,wisBase&3,cri&60	27;1600;hpBase&795,attBase&78,defBase&9,wisBase&3,hit&100	29;1800;hpBase&795,attBase&78,defBase&9,wisBase&3,defCri&30	31;2000;hpBase&795,attBase&78,defBase&9,wisBase&3,attSpeProp&0.05	2300	223.54	25.97	0	9.08	72	0	45	0	0	30	0	0	0	0	0	0	0	0	0	20	6	10501	10502	10503	10511	10504	10512	19999	23	10500																												
101054	105	»Ê×Ó	1	vegeta02	101051	2	3	1	4	101055	48	121051&500;121004&20	40000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	35;3000;hpBase&1060,attBase&104,defBase&12,wisBase&4,breakArm&108	37;3200;hpBase&1060,attBase&104,defBase&12,wisBase&4,evaBase&60	39;3400;hpBase&1060,attBase&104,defBase&12,wisBase&4,cri&87	42;3600;hpBase&1060,attBase&104,defBase&12,wisBase&4,hit&100	44;3800;hpBase&1060,attBase&104,defBase&12,wisBase&4,defCri&34	46;4000;hpBase&1060,attBase&104,defBase&12,wisBase&4,attSpeProp&0.1	7070	691.54	79.97	0	27.08	168	0	105	30	100	60	0	0	0	0	0.05	0	0	0	0	20	6	10501	10502	10503	10511	10504	10512	19999	24	10500																												
101055	105	»Ê×Ó	1	vegeta03	101051	2	3	1	5	0	0	0	0	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	50;5000;hpBase&1325,attBase&130,defBase&15,wisBase&5,breakArm&120	52;5200;hpBase&1325,attBase&130,defBase&15,wisBase&5,evaBase&96	54;5400;hpBase&1325,attBase&130,defBase&15,wisBase&5,cri&108	56;5600;hpBase&1325,attBase&130,defBase&15,wisBase&5,hit&160	58;5800;hpBase&1325,attBase&130,defBase&15,wisBase&5,defCri&36	60;6000;hpBase&1325,attBase&130,defBase&15,wisBase&5,attSpeProp&0.1	13430	1315.54	151.97	0	51.08	276	0	192	64	200	120	0	0	0	0	0.15	0	0	0	0	20	6	10501	10502	10503	10511	10504	10512	19999	25	10500																												
101061	106	¶¾Ê¦	1	dou01	101061	4	1	2	1	101062	12	121051&30;121031&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	4;300;hpBase&178,attBase&15,defBase&4,magicStr&15,wisBase&8,penetrate&20	10;400;hpBase&178,attBase&15,defBase&4,magicStr&15,wisBase&8,evaBase&10	0	0	0	0	96	7	2	7	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	20	6	10601	10602	10603	10605	10612	10604	19999	26	10600																												
101062	106	¶¾Ê¦	1	dou01	101061	4	1	2	2	101063	20	121051&100;121032&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	14;500;hpBase&356,attBase&30,defBase&8,magicStr&30,wisBase&16,penetrate&40	15;600;hpBase&356,attBase&30,defBase&8,magicStr&30,wisBase&16,evaBase&15	17;700;hpBase&356,attBase&30,defBase&8,magicStr&30,wisBase&16,cri&30	0	0	0	452	37	10	37	18.6	0	20	0	0	0	10	0	0	0	0	0	0	0	0	0.5	20	6	10601	10602	10603	10605	10612	10604	19999	27	10600																												
101063	106	¶¾Ê¦	1	dou02	101061	4	1	2	3	101064	33	121051&300;121033&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	22;1000;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,penetrate&80	23;1200;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,evaBase&25	25;1400;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,cri&40	27;1600;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,hit&100	29;1800;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,defCri&30	31;2000;hpBase&534,attBase&45,defBase&12,magicStr&45,wisBase&24,cureAddtion&0.05	1520	127	34	127	66.6	0	60	30	0	0	25	0	0	0	0	0	0	0	0	0.5	20	6	10601	10602	10603	10605	10612	10604	19999	28	10600																												
101064	106	¶¾Ê¦	1	dou02	101061	4	1	2	4	101065	48	121051&500;121034&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	35;3000;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,penetrate&90	37;3200;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,evaBase&50	39;3400;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,cri&58	42;3600;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,hit&100	44;3800;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,defCri&34	46;4000;hpBase&712,attBase&60,defBase&16,magicStr&60,wisBase&32,cureAddtion&0.1	4724	397	106	397	210.6	0	140	70	30	100	50	0	0	0	0	0	0	0	0.05	0.5	20	6	10601	10602	10603	10605	10612	10604	19999	29	10600																												
